Date,Open,Close
2011-02-23,56.650001525878906,56.72999954223633
2011-02-24,56.63999938964844,56.02000045776367
2011-02-25,56.400001525878906,57.2400016784668
2011-02-28,57.54999923706055,57.560001373291016
2011-03-01,57.900001525878906,56.34000015258789
2011-03-02,56.150001525878906,56.02000045776367
2011-03-03,56.84000015258789,58.310001373291016
2011-03-04,58.43000030517578,58.279998779296875
2011-03-07,58.77000045776367,56.7400016784668
2011-03-08,56.529998779296875,56.779998779296875
2011-03-09,56.58000183105469,56.41999816894531
2011-03-10,55.59000015258789,54.880001068115234
2011-03-11,54.29999923706055,54.900001525878906
2011-03-14,54.88999938964844,56.119998931884766
2011-03-15,54.0099983215332,54.63999938964844
2011-03-16,54.58000183105469,53.09000015258789
2011-03-17,53.970001220703125,53.84000015258789
2011-03-18,54.630001068115234,54.06999969482422
2011-03-21,54.81999969482422,55.52000045776367
2011-03-22,55.459999084472656,55.27000045776367
2011-03-23,55.040000915527344,55.70000076293945
2011-03-24,56.09000015258789,56.56999969482422
2011-03-25,56.83000183105469,57.22999954223633
2011-03-28,57.27000045776367,57.75
2011-03-29,57.529998779296875,58.45000076293945
2011-03-30,59.15999984741211,59.369998931884766
2011-03-31,59.25,59.77000045776367
2011-04-01,60.2599983215332,60.099998474121094
2011-04-04,60.36000061035156,59.810001373291016
2011-04-05,59.66999816894531,59.86000061035156
2011-04-06,60.310001373291016,60.31999969482422
2011-04-07,60.34000015258789,60.18000030517578
2011-04-08,60.47999954223633,60.04999923706055
2011-04-11,60.20000076293945,59.130001068115234
2011-04-12,58.66999816894531,57.880001068115234
2011-04-13,58.25,57.83000183105469
2011-04-14,57.25,57.83000183105469
2011-04-15,58.0,58.150001525878906
2011-04-18,57.20000076293945,56.90999984741211
2011-04-19,56.97999954223633,57.81999969482422
2011-04-20,62.439998626708984,64.87000274658203
2011-04-21,65.13999938964844,64.98999786376953
2011-04-25,64.86000061035156,69.55999755859375
2011-04-26,69.6500015258789,68.51000213623047
2011-04-27,68.77999877929688,68.0999984741211
2011-04-28,68.06999969482422,68.7300033569336
2011-04-29,68.87000274658203,70.55000305175781
2011-05-02,71.18000030517578,69.95999908447266
2011-05-03,69.72000122070312,68.27999877929688
2011-05-04,68.13999938964844,66.0999984741211
2011-05-05,64.62999725341797,67.94999694824219
2011-05-06,68.7300033569336,69.0
2011-05-09,68.91000366210938,69.27999877929688
2011-05-10,69.6500015258789,71.11000061035156
2011-05-11,70.79000091552734,69.87999725341797
2011-05-12,69.4000015258789,68.95999908447266
2011-05-13,69.83000183105469,68.26000213623047
2011-05-16,68.11000061035156,67.76000213623047
2011-05-17,67.3499984741211,67.27999877929688
2011-05-18,67.63999938964844,69.37999725341797
2011-05-19,69.5199966430664,69.05999755859375
2011-05-20,68.8499984741211,68.55000305175781
2011-05-23,67.05000305175781,67.20999908447266
2011-05-24,67.66999816894531,67.91000366210938
2011-05-25,67.56999969482422,68.91000366210938
2011-05-26,68.6500015258789,69.2300033569336
2011-05-27,69.5,70.55000305175781
2011-05-31,71.70999908447266,70.83999633789062
2011-06-01,70.79000091552734,68.47000122070312
